Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,3,B,"Kaarle McCulloch (AUS, 20 Jan 1988)",Australia,,24-195,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,Markov / M. Ignatiev,Russia,,26-095,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,"Mikhail Ignatiev (RUS, 07 May 1985)",Russia,,23-104,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,"Alexei Markov (RUS, 26 May 1979)",Russia,,29-085,
19-Aug-2008,Cycling - Track Sprint Men - Olympic Games 2008,3,B,"Mickaël Bourgain (FRA, 28 May 1980)",France,,28-083,
19-Aug-2008,Cycling - Track Sprint Women - Olympic Games 2008,3,B,"Guo Shuang (CHN, 26 Feb 1986)",China,,22-175,
18-Aug-2008,Cycling - Track Points Race Women - Olympic Games 2008,3,B,"Leire Olaberría (ESP, 17 Feb 1977)",Spain,,31-183,13
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,New Zealand,New Zealand,,22-361,3:57.776
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,"Sam Bewley (NZL, 22 Jul 1987)",New Zealand,,21-027,
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,"Hayden Roulston (NZL, 10 Jan 1981)",New Zealand,,27-221,
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,"Marc Ryan (NZL, 14 Oct 1982)",New Zealand,,25-309,
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,"Jesse Sergent (NZL, 08 Jul 1988)",New Zealand,,20-041,
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,3,B,"Westley Gough (NZL, 04 May 1988)",New Zealand,,20-106,
17-Aug-2008,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2008,3,B,"Lesya Kalitovska (UKR, 13 Feb 1988)",Ukraine,,20-186,3:31.413
16-Aug-2008,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2008,3,B,"Steven Burke (ENG, 04 Mar 1988)",Great Britain,,20-165,4:20.947
16-Aug-2008,Cycling - Track Keirin Men - Olympic Games 2008,3,B,"Kiyofumi Nagai (JPN, 18 May 1983)",Japan,,25-090,
16-Aug-2008,Cycling - Track Points Race Men - Olympic Games 2008,3,B,"Chris Newton (ENG, 29 Sep 1973)",Great Britain,,34-322,56
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,3,B,Germany,Germany,,24-134,44.014
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,3,B,"René Enders (GER, 13 Feb 1987)",Germany,,21-184,44.014
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,3,B,"Maximilian Levy (GER, 26 Jun 1987)",Germany,,21-050,44.014
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,3,B,"Stefan Nimke (GER, 01 Mar 1978)",Germany,,30-167,44.014
25-Aug-2004,Cycling - Track Keirin Men - Olympic Games 2004,3,B,"Shane Kelly (AUS, 07 Jan 1972)",Australia,,32-231,
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,3,B,Hayles / Wiggins,Great Britain,,27-351,12
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,3,B,"Rob Hayles (ENG, 21 Jan 1973)",Great Britain,,31-217,12
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,3,B,"Bradley Wiggins (ENG, 28 Apr 1980)",Great Britain,,24-119,12
25-Aug-2004,Cycling - Track Points Race Women - Olympic Games 2004,3,B,"María Luisa Calle (COL, 03 Oct 1968)",Colombia,,35-327,12
24-Aug-2004,Cycling - Track Points Race Men - Olympic Games 2004,3,B,"Guido Fulst (GER, 07 Jul 1970)",Germany,,34-048,79
24-Aug-2004,Cycling - Track Sprint Men - Olympic Games 2004,3,B,"René Wolff (GER, 04 Apr 1978)",Germany,,26-142,
24-Aug-2004,Cycling - Track Sprint Women - Olympic Games 2004,3,B,"Anna Meares (AUS, 21 Sep 1983)",Australia,,20-338,
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,3,B,Spain,Spain,,28-006,4:05.523
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,3,B,"Carlos Castaño (ESP, 07 May 1979)",Spain,,25-108,4:05.523
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,3,B,"Asier Maeztu (ESP, 14 Oct 1977)",Spain,,26-314,4:05.523
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,3,B,"Sergi Escobar (ESP, 22 Sep 1974)",Spain,,29-336,4:05.523
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,3,B,"Carlos Torrent (ESP, 29 Aug 1974)",Spain,,29-360,4:05.523
22-Aug-2004,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2004,3,B,"Leontien Zijlaard-van Moorsel (NED, 22 Mar 1970)",Netherlands,,34-153,3:27.037
21-Aug-2004,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2004,3,B,"Sergi Escobar (ESP, 22 Sep 1974)",Spain,,29-334,4:17.947
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,3,B,France,France,,27-130,44.359
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,3,B,"Laurent Gané (FRA, 07 Mar 1973)",France,,31-167,44.359
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,3,B,"Mickaël Bourgain (FRA, 28 May 1980)",France,,24-085,44.359
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,3,B,"Arnaud Tournant (FRA, 05 Apr 1978)",France,,26-138,44.359
20-Aug-2004,Cycling - Track 1km Time Trial Men - Olympic Games 2004,3,B,"Stefan Nimke (GER, 01 Mar 1978)",Germany,,26-172,1:01.186
20-Aug-2004,Cycling - Track 500m Time Trial Women - Olympic Games 2004,3,B,"Natalia Tzilinskaya (BLR, 30 Aug 1975)",Belarus,,28-356,34.167
