"","Year","Pinnacle Result","Pinnacle Time","Athlete","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games","Discipline"
"245",2017,5,NA,"Shaane Fulton",TRUE,TRUE,TRUE,FALSE,3,"Sprint"
"246",2014,8,10,"Shane Archbold",TRUE,FALSE,TRUE,FALSE,6,"Madison"
"247",2012,7,48,"Shane Archbold",FALSE,FALSE,TRUE,FALSE,8,"Omnium"
"248",2013,8,NA,"Simon Van Velthooven",TRUE,FALSE,TRUE,FALSE,7,"Sprint"
"249",2013,12,NA,"Simon Van Velthooven",TRUE,FALSE,TRUE,FALSE,7,"Keirin"
"250",2012,3,NA,"Simon Van Velthooven",FALSE,FALSE,TRUE,FALSE,8,"Keirin"
"251",2012,5,NA,"Simon Van Velthooven",FALSE,FALSE,TRUE,FALSE,8,"Team Sprint"
"252",2018,13,NA,"Sophie-Leigh Bloxham",TRUE,TRUE,TRUE,FALSE,2,"Keirin"
"253",2018,15,NA,"Sophie-Leigh Bloxham",TRUE,TRUE,TRUE,FALSE,2,"Sprint"
"254",2018,4,NA,"Sophie-Leigh Bloxham",TRUE,TRUE,TRUE,FALSE,2,"Team Sprint"
"255",2015,20,NA,"Stephanie McKenzie",TRUE,FALSE,TRUE,FALSE,5,"Sprint"
"256",2015,9,33.715,"Stephanie McKenzie",TRUE,FALSE,TRUE,FALSE,5,"Team Sprint"
"257",2018,15,NA,"Thomas Garbett",TRUE,TRUE,TRUE,FALSE,2,"Sprint"
"258",2018,9,NA,"Thomas Garbett",TRUE,TRUE,TRUE,FALSE,2,"Keirin"
"259",2014,8,10,"Tom Scully",TRUE,FALSE,TRUE,FALSE,6,"Madison"
"260",2019,8,NA,"Tom Sexton",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"261",2012,3,NA,"Westley Gough",FALSE,FALSE,TRUE,FALSE,8,"Team Pursuit"
"262",2017,17,NA,"Zac Williams",TRUE,FALSE,TRUE,FALSE,3,"Keirin"
"263",2013,7,NA,"Zac Williams",TRUE,TRUE,TRUE,FALSE,7,"Sprint"
