"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"216","Sprint",2,NA,TRUE,FALSE,TRUE,1
"217","Sprint",3,NA,TRUE,FALSE,TRUE,2
"218","Sprint",8,NA,TRUE,FALSE,TRUE,3
"219","Keirin",4,NA,TRUE,FALSE,TRUE,1
"220","Keirin",8,NA,TRUE,FALSE,TRUE,2
"221","Keirin",1,NA,TRUE,FALSE,TRUE,3
"222","Keirin",2,NA,TRUE,FALSE,TRUE,5
"223","Keirin",3,NA,TRUE,FALSE,TRUE,6
"224","Keirin",5,NA,TRUE,FALSE,TRUE,7
"225","Keirin",5,NA,TRUE,FALSE,FALSE,8
"226","Team Sprint",3,33.586,TRUE,FALSE,TRUE,1
"227","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"228","Team Pursuit",1,NA,TRUE,FALSE,TRUE,3
"229","Team Pursuit",1,275.75,TRUE,FALSE,TRUE,6
"230","Team Pursuit",6,248.295,TRUE,FALSE,TRUE,5
"231","Team Pursuit",6,NA,TRUE,FALSE,TRUE,7
"232","Team Pursuit",2,277.71,TRUE,FALSE,TRUE,1
"233","Team Pursuit",2,278.68,TRUE,FALSE,TRUE,2
"234","Team Pursuit",2,277.71,TRUE,FALSE,TRUE,1
"235","Team Pursuit",2,278.68,TRUE,FALSE,TRUE,2
"236","Sprint",1,NA,TRUE,FALSE,TRUE,1
"237","Sprint",8,NA,TRUE,FALSE,TRUE,3
"238","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"239","Team Pursuit",1,237.832,TRUE,FALSE,TRUE,1
"240","Team Pursuit",1,235.654,TRUE,FALSE,TRUE,2
"241","Team Pursuit",2,238.863,TRUE,FALSE,TRUE,3
"242","Team Pursuit",4,NA,FALSE,FALSE,TRUE,4
"243","Team Pursuit",3,NA,TRUE,FALSE,FALSE,4
"244","Team Pursuit",1,251.798,TRUE,TRUE,TRUE,5
"245","Team Pursuit",1,249.249,TRUE,TRUE,TRUE,6
"246","Team Sprint",2,44.194,TRUE,FALSE,TRUE,2
"247","Team Sprint",1,44.379,TRUE,FALSE,TRUE,3
"248","Team Sprint",5,44.075,FALSE,FALSE,TRUE,4
"249","Team Sprint",3,44.62,TRUE,FALSE,FALSE,4
"250","Team Sprint",3,50.442,TRUE,FALSE,TRUE,5
"251","Team Sprint",1,44.37,TRUE,FALSE,TRUE,6
"252","Team Pursuit",7,NA,FALSE,FALSE,TRUE,4
"253","Sprint",1,NA,TRUE,TRUE,TRUE,2
"254","Team Sprint",1,46.164,TRUE,TRUE,TRUE,2
"255","Keirin",13,NA,TRUE,FALSE,TRUE,1
"256","Keirin",5,NA,TRUE,FALSE,TRUE,2
"257","Keirin",1,NA,TRUE,FALSE,TRUE,3
