"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"279","K4 500m","Women",4,101.23,TRUE,FALSE,TRUE,7
"280","C2 1000m","Men",3,NA,TRUE,FALSE,TRUE,1
"281","K2 500m","Men",1,92.4,TRUE,FALSE,TRUE,1
"282","C2 500m","Men",2,103.986,TRUE,FALSE,TRUE,1
"283","K2 1000m","Men",7,198.56,TRUE,FALSE,TRUE,2
"284","C2 1000m","Men",6,222.538,TRUE,FALSE,TRUE,1
"285","C2 1000m","Men",2,236.55,TRUE,FALSE,TRUE,2
"286","C2 500m","Men",5,108.921,TRUE,FALSE,TRUE,2
"287","K2 500m","Women",2,97.275,TRUE,FALSE,TRUE,1
"288","K4 500m","Women",2,97.521,TRUE,FALSE,TRUE,1
"289","K4 500m","Women",2,96.396,TRUE,TRUE,TRUE,5
"290","K4 500m","Women",7,99.415,TRUE,FALSE,TRUE,1
"291","K2 500m","Women",1,99.865,TRUE,FALSE,TRUE,1
"292","K2 500m","Women",1,99.935,TRUE,FALSE,TRUE,2
"293","K2 500m","Women",1,100.064,TRUE,FALSE,TRUE,6
"294","K2 500m","Women",1,101.144,TRUE,FALSE,TRUE,7
"295","K2 500m","Women",2,NA,TRUE,FALSE,TRUE,1
"296","C2 1000m","Men",2,NA,TRUE,FALSE,TRUE,1
"297","C2 1000m","Men",1,NA,TRUE,FALSE,TRUE,3
"298","C2 500m","Men",6,104.59,TRUE,FALSE,TRUE,1
"299","C2 500m","Men",1,107.78,TRUE,FALSE,TRUE,2
"300","C2 500m","Men",4,102.84,FALSE,FALSE,TRUE,4
"301","C2 500m","Men",4,102.87,TRUE,FALSE,TRUE,5
"302","C2 500m","Men",4,108.99,TRUE,FALSE,TRUE,6
"303","C2 500m","Men",4,102.56,TRUE,FALSE,TRUE,7
"304","C2 500m","Men",7,105.84,FALSE,FALSE,TRUE,8
"305","C2 1000m","Men",2,NA,TRUE,FALSE,TRUE,1
"306","C2 1000m","Men",1,NA,TRUE,FALSE,TRUE,3
"307","K2 1000m","Men",8,238.47,TRUE,FALSE,TRUE,1
"308","K2 1000m","Men",4,205.42,TRUE,FALSE,TRUE,1
"309","C2 500m","Men",6,104.59,TRUE,FALSE,TRUE,1
"310","C2 500m","Men",1,107.78,TRUE,FALSE,TRUE,2
"311","C2 500m","Men",7,109.98,TRUE,FALSE,TRUE,3
"312","C2 500m","Men",7,105.84,FALSE,FALSE,TRUE,8
"313","K2 500m","Men",7,100.81,TRUE,FALSE,TRUE,1
"314","K2 500m","Men",4,98.5,FALSE,FALSE,TRUE,4
"315","C2 1000m","Men",3,227.22,TRUE,FALSE,TRUE,1
"316","C2 1000m","Men",1,230.1,TRUE,FALSE,TRUE,2
"317","K2 1000m","Men",7,198.86,TRUE,FALSE,TRUE,2
"318","C2 1000m","Men",1,225.56,TRUE,FALSE,TRUE,1
"319","C2 1000m","Men",5,222.86,FALSE,FALSE,TRUE,4
"320","C2 500m","Men",1,102.741,TRUE,FALSE,TRUE,1
"321","C2 500m","Men",2,108.452,TRUE,FALSE,TRUE,2
"322","C2 500m","Men",1,106.4,TRUE,FALSE,TRUE,3
"323","C2 500m","Men",7,103.27,FALSE,FALSE,TRUE,4
"324","C2 1000m","Men",3,215.428,TRUE,FALSE,TRUE,1
"325","K2 1000m","Men",1,NA,TRUE,FALSE,TRUE,6
"326","C1 1000m","Men",7,251.25,TRUE,FALSE,TRUE,1
"327","C1 1000m","Men",2,242.15,TRUE,FALSE,TRUE,2
"328","K4 500m","Women",8,NA,TRUE,FALSE,TRUE,2
"329","K4 500m","Women",4,98.927,TRUE,FALSE,TRUE,3
"330","K4 500m","Women",5,97.544,FALSE,FALSE,TRUE,4
"331","K4 500m","Women",5,96.155,TRUE,FALSE,TRUE,5
"332","K4 500m","Women",12,100.092,FALSE,FALSE,TRUE,8
"333","K4 500m","Women",6,99.777,TRUE,FALSE,TRUE,1
"334","K2 1000m","Men",2,285.5,TRUE,FALSE,TRUE,10
"335","K4 500m","Women",1,95.42,TRUE,FALSE,TRUE,3
"336","C1 1000m","Men",6,294.27,TRUE,FALSE,TRUE,1
"337","K2 1000m","Men",4,194.942,TRUE,FALSE,TRUE,1
"338","K2 1000m","Men",5,212.56,TRUE,FALSE,TRUE,2
"339","K2 1000m","Men",6,237.12,TRUE,FALSE,TRUE,1
"340","K2 1000m","Men",2,217.45,TRUE,FALSE,TRUE,2
"341","K2 1000m","Men",6,221.69,TRUE,FALSE,TRUE,5
"342","K2 500m","Men",3,109.58,TRUE,FALSE,TRUE,1
"343","K1 500m","Men",2,119.67,TRUE,FALSE,TRUE,1
"344","K1 500m","Men",7,107.36,FALSE,FALSE,TRUE,4
"345","K1 500m","Men",7,113.04,TRUE,FALSE,TRUE,5
"346","K2 1000m","Men",1,202.71,TRUE,FALSE,TRUE,1
"347","K2 1000m","Men",6,220.47,TRUE,FALSE,TRUE,6
"348","K1 500m","Men",12,101.486,FALSE,FALSE,TRUE,4
"349","C2 1000m","Men",2,221.72,TRUE,FALSE,TRUE,1
"350","C2 1000m","Men",6,242.97,TRUE,FALSE,TRUE,2
"351","C2 1000m","Men",5,222.828,TRUE,FALSE,TRUE,3
"352","C2 500m","Men",3,101.136,TRUE,FALSE,TRUE,1
"353","C2 500m","Men",1,103.467,TRUE,FALSE,TRUE,2
"354","C2 500m","Men",1,104.351,TRUE,FALSE,TRUE,3
"355","C2 500m","Men",9,137.126,FALSE,FALSE,TRUE,4
"356","C2 500m","Men",6,106.54,TRUE,FALSE,TRUE,5
"357","C2 500m","Men",6,111.865,TRUE,FALSE,TRUE,7
"358","C2 1000m","Men",5,214.292,TRUE,FALSE,TRUE,1
"359","C2 1000m","Men",4,219.173,TRUE,FALSE,TRUE,2
