"","Year","Discipline","Pinnacle Result","Pinnacle Time","Athlete","Gender","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games"
"78",2013,"K1 1000m",7,216.485,"Darryl Fitzgerald","Men",TRUE,FALSE,TRUE,FALSE,7
"79",2012,"K2 1000m",7,NA,"Darryl Fitzgerald","Men",FALSE,FALSE,TRUE,FALSE,8
"80",2011,"K2 1000m",10,201.211,"Darryl Fitzgerald","Men",TRUE,FALSE,TRUE,FALSE,9
"81",2018,"K4 500m",19,88.483,"Dylan Neal-Hill","Men",TRUE,TRUE,TRUE,FALSE,2
"82",2018,"K1 200m",32,38.334,"Dylan Neal-Hill","Men",TRUE,TRUE,TRUE,FALSE,2
"83",2018,"K2 1000m",17,209.962,"Dylan Neal-Hill","Men",TRUE,TRUE,TRUE,FALSE,2
"84",2017,"K4 500m",19,98.644,"Dylan Neal-Hill","Men",TRUE,TRUE,TRUE,FALSE,3
"85",2017,"K2 1000m",15,230.636,"Dylan Neal-Hill","Men",TRUE,TRUE,TRUE,FALSE,3
"86",2017,"K4 500m",8,106.644,"Elise Legarth","Women",TRUE,FALSE,TRUE,FALSE,3
"87",2015,"K1 500m",26,127.436,"Elise Legarth","Women",TRUE,TRUE,TRUE,FALSE,5
"88",2015,"K4 500m",16,105.884,"Elise Legarth","Women",TRUE,TRUE,TRUE,FALSE,5
"89",2012,"K2 500m",7,NA,"Erin Taylor","Women",FALSE,FALSE,TRUE,FALSE,8
"90",2011,"K2 500m",9,102.423,"Erin Taylor","Women",TRUE,FALSE,TRUE,FALSE,9
"91",2010,"K1 500m",11,112.766,"Erin Taylor","Women",TRUE,FALSE,TRUE,FALSE,10
"92",2010,"K4 500m",11,96.054,"Erin Taylor","Women",TRUE,FALSE,TRUE,FALSE,10
"93",2017,"K1 200m",31,42.697,"Ethan Moore","Men",TRUE,TRUE,TRUE,FALSE,3
"94",2017,"K4 500m",19,98.644,"Ethan Moore","Men",TRUE,TRUE,TRUE,FALSE,3
"95",2019,"K4 500m",18,99.002,"Fletcher Moles","Men",TRUE,TRUE,TRUE,FALSE,1
"96",2019,"K2 1000m",27,233.71,"Fletcher Moles","Men",TRUE,TRUE,TRUE,FALSE,1
"97",2019,"K4 500m",16,90.919,"Hamish Legarth","Men",TRUE,FALSE,TRUE,FALSE,1
"98",2017,"K4 500m",19,98.644,"Hamish Legarth","Men",TRUE,TRUE,TRUE,FALSE,3
"99",2017,"K2 1000m",15,230.636,"Hamish Legarth","Men",TRUE,TRUE,TRUE,FALSE,3
"100",2018,"K1 1000m",16,260.75,"Hannah Baker","Women",TRUE,TRUE,TRUE,FALSE,2
"101",2017,"K1 1000m",14,274.216,"Hannah Baker","Women",TRUE,TRUE,TRUE,FALSE,3
"102",2019,"K4 500m",18,99.002,"Jack Clifton","Men",TRUE,TRUE,TRUE,FALSE,1
"103",2019,"K2 1000m",27,233.71,"Jack Clifton","Men",TRUE,TRUE,TRUE,FALSE,1
"104",2018,"K4 500m",19,88.483,"Jack Clifton","Men",TRUE,TRUE,TRUE,FALSE,2
"105",2018,"K2 1000m",17,209.962,"Jack Clifton","Men",TRUE,TRUE,TRUE,FALSE,2
"106",2011,"K1 500m",32,113.12,"Jack Wilson","Men",TRUE,TRUE,TRUE,FALSE,9
"107",2011,"K1 1000m",27,241.16,"Jack Wilson","Men",TRUE,TRUE,TRUE,FALSE,9
"108",2016,"K4 500m",5,NA,"Jaimee Lovett","Women",FALSE,FALSE,TRUE,FALSE,4
"109",2015,"K4 500m",9,97.698,"Jaimee Lovett","Women",TRUE,FALSE,TRUE,FALSE,5
"110",2014,"K4 500m",14,95.063,"Jaimee Lovett","Women",TRUE,FALSE,TRUE,FALSE,6
"111",2010,"K4 500m",11,96.054,"Jaimee Lovett","Women",TRUE,FALSE,TRUE,FALSE,10
"112",2017,"K4 500m",19,98.644,"Jake Koekemoer","Men",TRUE,TRUE,TRUE,FALSE,3
"113",2014,"K1 200m",25,37.746,"Jamie Banhidi","Men",TRUE,FALSE,TRUE,FALSE,6
"114",2014,"K2 1000m",18,201.162,"Jarrod Fitzgerald","Men",TRUE,FALSE,TRUE,FALSE,6
"115",2013,"K2 1000m",9,198.088,"Jarrod Fitzgerald","Men",TRUE,FALSE,TRUE,FALSE,7
"116",2011,"K1 500m",28,133.01,"Jennyfer Fidow","Women",TRUE,TRUE,TRUE,FALSE,9
"117",2011,"K2 500m",24,129,"Jennyfer Fidow","Women",TRUE,TRUE,TRUE,FALSE,9
"118",2019,"K4 500m",19,112.986,"Jess Nisbet","Women",TRUE,TRUE,TRUE,FALSE,1
"119",2011,"K1 200m",34,51.9,"Julie Sweetman","Women",TRUE,TRUE,TRUE,FALSE,9
"120",2011,"K2 500m",24,129,"Julie Sweetman","Women",TRUE,TRUE,TRUE,FALSE,9
"121",2011,"K4 500m",15,107.16,"Karina Radley","Women",TRUE,TRUE,TRUE,FALSE,9
"122",2017,"K4 500m",9,84.508,"Karl McMurtrie","Men",TRUE,FALSE,TRUE,FALSE,3
"123",2015,"K1 200m",19,41.764,"Karl McMurtrie","Men",TRUE,TRUE,TRUE,FALSE,5
"124",2019,"K4 500m",4,95.35,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,1
"125",2018,"K4 500m",2,93.771,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,2
"126",2017,"K4 500m",3,90.215,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,3
"127",2016,"K4 500m",5,NA,"Kayla Imrie","Women",FALSE,FALSE,TRUE,FALSE,4
"128",2015,"K4 500m",9,97.698,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,5
"129",2014,"K1 200m",19,44.106,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,6
"130",2014,"K4 500m",12,97.139,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,6
"131",2013,"K1 200m",14,43.537,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,7
"132",2013,"K2 500m",11,118.094,"Kayla Imrie","Women",TRUE,FALSE,TRUE,FALSE,7
"133",2018,"K4 500m",9,101.596,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,2
"134",2017,"K2 500m",10,123.296,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,3
"135",2017,"K4 500m",8,106.644,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,3
"136",2015,"K1 200m",15,43.688,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,5
"137",2015,"K4 500m",9,97.912,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,5
"138",2014,"K4 500m",12,97.139,"Kim Thompson","Women",TRUE,FALSE,TRUE,FALSE,6
"139",2013,"K2 500m",3,104.601,"Kim Thompson","Women",TRUE,TRUE,TRUE,FALSE,7
"140",2013,"K4 500m",6,99.046,"Kim Thompson","Women",TRUE,TRUE,TRUE,FALSE,7
